DATABASE,FIELD,DESCRIPTION,OBSERVATIONS
,contract_type_code,Contract type code,
,contract_type_first_preference,First preferred contract type code,
,contract_type_second_preference,Second preferred contract type code,
,contract_preference_utility,Preferred utility code,
,contract_preference_updatetime,Preferred update time [mm/dd/yyyy hh:mm],
,city,City,"Port Angeles, Gresham, Sequim"
,state,State,
,zipcode,Zipcode,
,usage_model_kwh_base,Fixed energy term of usage model,
,usage_model_kwh_per_hdh,Heating energy term of usage model,
,usage_model_kwh_stdev,Stdev of usage data,
,usage_model_samples,Samples in usage data,
,usage_model_updated,Flag indicate model is up to date,
dev_type_comfort_level,dev_type_comfort_level_id,Comfort level number,
,device_type_id,Device type number,
,comfort_level_desc,Comfort level description,"Maximum Comfort, Maximum Economy, Fixed Value"
,comfort_value,Comfort value [0…N],"I.e., k-factor"
device_type,device_type_id,Device type number,
,device_type_code,Device type code,"TSTAT, METER, WH, POOL, DRYER, DRYER"
,device_type_desc,Device type description,"Thermostat, Utility Meter, Water Heater, Pool Pump, Clothes Dryer, Clothes Dryer"
experiment,experiment_code,Experiment code,"GFA, OLYPEN"
,experiment_desc,Experiment description,"Grid Friendly Appliances, Olympic Peninsula Economic Experiment"
,start_date,Experiment starting date [mm/dd/yyyy],
experiment_participant,experiment_participant_id,Experiment participant number,
,customer_id,Customer number,
,experiment_code,Experiment code,
,signup_date,Experiment sign-up date,
,participation_start_date,Experiment participation start-up date,
fixed_price,fixed_price_id,Fixed price number,
,startdate,Date when price becomes effective,
,enddate,Date when price ends being effective,
,price,Price value,
,unit_type_code,Price unit [$/MWh],
home_mode_type,home_mode_type_id,Occupancy mode number [0 - 7],
,home_mode_type_code,Occupancy mode type code,"HOME, AWAY, SLEEP, VAC, USER 1-4"
,home_mode_type_desc,Occupancy mode type description,"Home, Away, Sleep, Vacation, 4 extra user modes"
invensys_meter,customer_id,Customer number,
,read_time,Reading time [mm/dd/yyyy hh:mm],
,meter_id,Meter number,
,meter_reading,Energy reading [W],
invensys_weather,invensys_acct_id,Equipment account number,
,zipcode,Zipcode,
,read_time,Reading time [mm/dd/yyyy hh:mm],
,temperature,Outdoor temperature [F],
midc,report_time,Time of the report [mm/dd/yyyy hh:mm],MidC = Mid-Columbia
,report_type,Report type,FP: firm peak; FOP: firm off-peak; NFOP: non-firm off-peak; HRLY: hourly; PKAV: peak average; OPAV: off-peak average; OLYM: olympic price; NFP: non-firm peak.
,report_value,Reported value [$/MWh],
noaa_weather_station,noaacode,National Oceaning and Atmospheric Administration (NOAA) code,
,state,State,
,location,Location where weather measurements were done,
prices,mkt_id,Market number,
,posttime,Time bid has been posted [mm/dd/yyyy hh:mm],
,wholesale,Wholesale price [$/MWh],
,ctrl_price,Bid price for control group [$/MWh],
,fixed_price,Bid fixed price [$/MWh],
,tou_price,Bid time-of-use price [$/MWh],
,rtp_price,Bid real time price [$/MWh],
sell,supplier_id,Supplier number,
,posttime,Time supply has been posted [mm/dd/yyyy hh:mm],
,mkt_id,Market number,
,quantity,Amount of energy supplied [kWh],
,price,Price [$/MWh],
supplier,supplier_id,Supplier number,
,supplier_type_code,Supplier type code,
,supplier_name,Supplier name,
,is_active,"Active or not [1 = active, 0 = not active]",
,capacity_kw,Supplier's capacity [kW],
,fuel_price,Fuel price,
,fuel_price_unit_code,Unit for fuel price [cents/gal],
,license_start,License start date,
,license_end,License end date,
,license_hours,Number of licensed hours,
,run_hours,Number of running hours,
,annual_cost,Annual operation and maintenance cost [$],
,startup_cost,Cost to start up the generator [$],
,shutdown_cost,Cost to shut down generator [$],
,state_type_code,Supplier state code,RDY; OFFLINE; RUNNING; STOPPED.
,state_type_desc,Supplier state description,Ready (off); Offline (unavailable); Running (on); Stopped (not ready)
,statechange_time,Time of state change [mm/dd/yyyy hh:mm],
,dg_updatetime,Distributed generation update time [dd/mm/yyyy hh:mm],
supplier_feeder_limit,supplier_id,Supplier number,
,start_date,Supplying starting date [mm/dd/yyyy hh:mm],
,end_date,Supplying ending date [mm/dd/yyyy hh:mm],
,capacity,Supplying capacity [kWh],
supplier_feeder_status,supplier_id,Supplier number,
,posttime,Time of status posting,
,updatetime,Time of status update,
,status,Supplier status,
,capacity,Supplier capacity [kWh],
supplier_type,supplier_type_code,Suplier type code ,"DGEN, DR, VFEED"
,supplier_type_desc,Supplier type description,"Distributed Generation, Distributed Resource, Virtual Feeder"
tou_prices,tou_prices_id,Time-of-use number,
,startdate,Starting date for a specific price [mm/dd/yyyy],
,enddate,Ending date for a specific price [mm/dd/yyyy],
,hour,Hour of the day,
,critical_price,Critical price,
,price,Time-of-use price,
,unit_type_code,Price unit [$/MWh],
unit_type,unit_type_code,Measurement unit code,Units that describe measurements
,unit_type_abbrev,Measurement unit abbreviation,
,unit_type_desc,Measurement unit description,
weather,zipcode,Zipcode,
,readtime,Time of reading [mm/dd/yyyy hh:mm],
,posttime,Time of posting [mm/dd/yyyy hh:mm],
,temperature,Temperature [F],
,humidity,Humidity [%],
,dewpoint,Dewpoint [F],
,windvel,Wind velocity [mph],
,winddir,Wind direction,
,barometer,Barometer [in],
,visibility,Visibility [miles],
weather_copa_hourly,Posttime,Time of posting [mm/dd/yyyy hh:mm],
,Temperature,Temperature [F],
weather_degree_hours,readtime,Time of reading [mm/dd/yyyy hh:mm],
,temp,Temperature [F],
,hdh,Heating degree hour,
,cdh,Cooling degree hour,
weather_degree_month,billing_month,Billing month,
,days,Number of days in the billing month,
,hdh,Heating degree month,
,cdh,Cooling degree month,
weather_sites,zipcode,Zipcode,
,city_st,City and state,
,noaacode,NOAA code,
weathernoaa,noaacode,NOAA code,
,readtime,Time of reading [mm/dd/yyyy hh:mm],
,posttime,Time of posting [mm/dd/yyyy hh:mm],
,temperature,Temperature [F],
,humidity,Humidity [%],
,dewpoint,Dewpoint [F],
,windvel,Wind velocity [mph],
,winddir,Wind direction,
,barometer,Barometer [in],
,visibility,Visibility [miles],
